Supplementary Data 8. Differential gene expression between clone #5 and clone #4 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
SDCBP,0.10021662,-0.489532239,0.069,0.1,1,0.031
ZDHHC6,0.024742332,-0.488560382,0.084,0.135,1,0.051
MRPL3,0.202516567,-0.487806464,0.081,0.105,1,0.024
ZMAT2,0.028353492,-0.483387645,0.178,0.235,1,0.057
VEGFB,0.013741056,-0.483281709,0.109,0.173,1,0.064
USF2,0.024281358,-0.477609585,0.134,0.191,1,0.057
SEC63,0.092048899,-0.477102192,0.106,0.143,1,0.037
SMAP2,0.002108154,-0.475029066,0.247,0.346,1,0.099
PRDX2,0.00314451,-0.474956054,0.281,0.371,1,0.09
CIR1,0.041572533,-0.473548946,0.109,0.157,1,0.048
GTF3C1,0.069336031,-0.473112377,0.147,0.194,1,0.047
IFITM2,3.14E-08,-0.470374979,0.725,0.812,0.00052807,0.087
EIF3B,0.031028077,-0.468732372,0.131,0.184,1,0.053
LYAR,0.000304371,-0.464525749,0.294,0.407,1,0.113
PPP1R14B,0.134871571,-0.464105983,0.072,0.1,1,0.028
CNOT11,0.110414174,-0.461667572,0.078,0.11,1,0.032
NBDY,0.094165225,-0.460172755,0.103,0.14,1,0.037
DNAJA2,0.007170621,-0.458669333,0.156,0.231,1,0.075
RAB24,0.024385244,-0.458575939,0.094,0.145,1,0.051
STX12,0.166283136,-0.458389895,0.078,0.104,1,0.026
SLC2A3,0.012265575,-0.45776264,0.184,0.256,1,0.072
SGF29,0.070228866,-0.456612932,0.097,0.135,1,0.038
GBP4,0.16221884,-0.456473434,0.112,0.142,1,0.03
SUCLG2,0.129072406,-0.454685452,0.072,0.101,1,0.029
LMBRD1,0.127677824,-0.454543227,0.094,0.125,1,0.031
LIME1,1.28E-06,-0.45044225,0.591,0.719,0.021559118,0.128
TMEM238,0.033643684,-0.448221698,0.094,0.143,1,0.049
NLRC5,0.062015469,-0.448081224,0.184,0.234,1,0.05
CDC14A,0.104352518,-0.445809315,0.078,0.111,1,0.033
BBX,0.017037372,-0.445284172,0.15,0.215,1,0.065
CCS,0.053620896,-0.445032618,0.097,0.141,1,0.044
LSM5,0.081347834,-0.444195379,0.119,0.158,1,0.039
CYC1,0.002318756,-0.444021007,0.178,0.272,1,0.094
TPGS2,0.045546046,-0.4434842,0.103,0.15,1,0.047
ZNF106,0.273021852,-0.443031368,0.119,0.142,1,0.023
NDUFB5,0.102669789,-0.442699291,0.097,0.132,1,0.035
MSL2,0.173184056,-0.44204229,0.075,0.101,1,0.026
KLF9,0.086579772,-0.44116534,0.112,0.15,1,0.038
HLA-DRB1,0.01736025,-0.440901894,0.281,0.348,1,0.067
PSMA3-AS1,0.093955456,-0.438380745,0.1,0.136,1,0.036
MCUB,0.009879955,-0.43682463,0.175,0.251,1,0.076
SLC25A11,0.092612215,-0.43455591,0.081,0.115,1,0.034
PLCG1,0.163359955,-0.433519652,0.106,0.136,1,0.03
MTERF4,0.150342084,-0.433014348,0.081,0.111,1,0.03
PHKG2,0.064111715,-0.431220757,0.097,0.138,1,0.041
CMTM7,0.053338951,-0.430906614,0.103,0.147,1,0.044
SSBP1,0.003197513,-0.429181263,0.234,0.338,1,0.104
DCK,0.045239142,-0.428295533,0.084,0.13,1,0.046
FLII,0.067783478,-0.426712771,0.103,0.146,1,0.043
ILRUN,0.044091538,-0.426156146,0.084,0.128,1,0.044
ATR,0.067088468,-0.426016309,0.072,0.109,1,0.037
SMNDC1,0.013225872,-0.425501215,0.116,0.18,1,0.064
STYX,0.099626084,-0.423734691,0.075,0.108,1,0.033
ERN1,0.003082188,-0.421508926,0.247,0.345,1,0.098
CDK9,0.081889638,-0.420850374,0.094,0.131,1,0.037
MRPL28,0.090130002,-0.420178526,0.119,0.157,1,0.038
NFKB1,0.09853398,-0.419941438,0.106,0.143,1,0.037
PPP4R3A,0.022722657,-0.419714735,0.172,0.234,1,0.062
ITFG2,0.147994774,-0.417317946,0.097,0.128,1,0.031
PLD3,0.068275608,-0.416794083,0.15,0.197,1,0.047
NOTCH2NLC,0.109067006,-0.416584824,0.072,0.103,1,0.031
CCDC167,0.042539622,-0.413867121,0.106,0.155,1,0.049
HMCES,0.083977888,-0.413333582,0.078,0.113,1,0.035
ZFC3H1,0.117696761,-0.413250559,0.153,0.192,1,0.039
ARL14EP,0.078287026,-0.41263781,0.084,0.124,1,0.04
METTL5,0.133632452,-0.412205346,0.103,0.136,1,0.033
EIF6,0.19132713,-0.411488477,0.156,0.184,1,0.028
MMGT1,0.265153769,-0.41124879,0.097,0.118,1,0.021
YPEL5,0.066668037,-0.411146453,0.209,0.263,1,0.054
AL135905.2,0.187899823,-0.409767872,0.081,0.108,1,0.027
IMPDH2,0.111951561,-0.408966246,0.116,0.152,1,0.036
EIF2S3,0.010124344,-0.408446161,0.216,0.296,1,0.08
DNAJC2,0.283797423,-0.407923847,0.097,0.118,1,0.021
COPS2,0.069420439,-0.406789815,0.119,0.163,1,0.044
AC026979.2,0.122780307,-0.406260838,0.078,0.11,1,0.032
MEX3C,0.176878649,-0.405974059,0.084,0.111,1,0.027
TBC1D10A,0.086235841,-0.404056323,0.109,0.148,1,0.039
CDC42EP3,0.004081263,-0.40369501,0.294,0.388,1,0.094
ALDH9A1,0.046976842,-0.401213172,0.097,0.145,1,0.048
DENND6A,0.106370532,-0.400109825,0.075,0.11,1,0.035
ATPAF1,0.048352589,-0.399768123,0.062,0.101,1,0.039
ING4,0.285862803,-0.398732035,0.094,0.115,1,0.021
TENT5C,0.068900204,-0.398228114,0.153,0.201,1,0.048
CLK1,0.07756998,-0.397136379,0.162,0.21,1,0.048
RANGRF,0.164436066,-0.39659805,0.106,0.137,1,0.031
WDTC1,0.205223723,-0.396405766,0.094,0.119,1,0.025
ENOSF1,0.104021193,-0.396316293,0.072,0.104,1,0.032
EOMES,0.013193186,-0.395833415,0.134,0.203,1,0.069
HPS3,0.275945894,-0.392309697,0.091,0.113,1,0.022
THOC7,0.055342132,-0.391616157,0.122,0.168,1,0.046
MTG1,0.11045807,-0.391574212,0.109,0.145,1,0.036
CSRNP1,0.166342281,-0.391412678,0.084,0.113,1,0.029
GATA3,0.069887906,-0.390149507,0.178,0.224,1,0.046
SH3BP1,0.031954644,-0.390122672,0.197,0.26,1,0.063
C16orf54,0.177623456,-0.389972473,0.131,0.161,1,0.03
MRPL9,0.164195411,-0.389967191,0.128,0.16,1,0.032
CEBPZOS,0.200396314,-0.3886856,0.094,0.119,1,0.025
CDKN1B,0.009251988,-0.388327362,0.238,0.314,1,0.076
TOR2A,0.165893101,-0.387957825,0.097,0.127,1,0.03
MT-ND2,2.80E-07,-0.385581464,0.841,0.906,0.004696703,0.065
SYNCRIP,0.080543898,-0.385062623,0.141,0.187,1,0.046
ME2,0.102622481,-0.385028174,0.091,0.127,1,0.036
EML4,0.000534427,-0.384694858,0.3,0.415,1,0.115
PPP1R35,0.113797801,-0.384081663,0.159,0.2,1,0.041
ANKRD13D,0.05944699,-0.383697162,0.172,0.226,1,0.054
IDS,0.002329868,-0.383667513,0.381,0.486,1,0.105
ARPC1A,0.142714125,-0.383293532,0.078,0.108,1,0.03
KATNBL1,0.259401283,-0.37975164,0.094,0.116,1,0.022
AKAP8L,0.167934524,-0.379477524,0.141,0.171,1,0.03
USP48,0.073313408,-0.378655046,0.103,0.144,1,0.041
MIS18BP1,0.203355947,-0.376401558,0.128,0.157,1,0.029
HDLBP,0.374409238,-0.37446677,0.109,0.127,1,0.018
PRNP,0.039881302,-0.374362308,0.197,0.255,1,0.058
TMEM170A,0.080995362,-0.372872055,0.1,0.14,1,0.04
ASF1A,0.159367284,-0.372851522,0.075,0.103,1,0.028
UGP2,0.089790262,-0.37276258,0.125,0.166,1,0.041
GIMAP5,0.031878605,-0.372733303,0.209,0.277,1,0.068
OAS2,0.202906629,-0.372179003,0.078,0.103,1,0.025
ZFAS1,0.00127627,-0.372055534,0.406,0.522,1,0.116
PIAS1,0.040279234,-0.372005143,0.169,0.225,1,0.056
NEK7,0.137418658,-0.371892854,0.088,0.118,1,0.03
SYNRG,0.029148788,-0.37064011,0.212,0.275,1,0.063
NIFK,0.120310444,-0.370638267,0.103,0.136,1,0.033
TNFAIP3,0.00066903,-0.369732637,0.55,0.651,1,0.101
NDUFA10,0.034877564,-0.369069979,0.166,0.224,1,0.058
CNOT1,0.031691414,-0.368629016,0.112,0.168,1,0.056
TNFAIP8,0.073090159,-0.367687612,0.222,0.272,1,0.05
RBM17,0.037385855,-0.367437238,0.241,0.302,1,0.061
ERVK3-1,0.094820644,-0.366716304,0.116,0.152,1,0.036
SAT2,0.073090639,-0.366381394,0.138,0.184,1,0.046
MED29,0.323102211,-0.364845068,0.094,0.113,1,0.019
PPA1,0.051213164,-0.364612183,0.103,0.151,1,0.048
HINT1,6.62E-06,-0.364570085,0.641,0.776,0.111266744,0.135
VKORC1,0.192215801,-0.363916149,0.125,0.155,1,0.03
TMEM243,0.124116323,-0.363859992,0.159,0.198,1,0.039
CSDE1,0.016274249,-0.361592269,0.366,0.424,1,0.058
SLC4A7,0.029945551,-0.361334815,0.112,0.168,1,0.056
HLA-DRB5,0.060028031,-0.360554789,0.075,0.114,1,0.039
SNHG9,0.263776939,-0.357726809,0.106,0.129,1,0.023
CD5,0.004364761,-0.356593195,0.425,0.509,1,0.084
HPS1,0.106639263,-0.356523904,0.194,0.235,1,0.041
ARL16,0.0792799,-0.356388178,0.112,0.153,1,0.041
AC245297.3,0.054108447,-0.355606028,0.106,0.152,1,0.046
RAB8A,0.029359754,-0.354567232,0.162,0.223,1,0.061
SPG7,0.235950949,-0.354425078,0.097,0.121,1,0.024
JPX,0.178431716,-0.350523028,0.094,0.122,1,0.028
CKLF,0.045689983,-0.350395247,0.222,0.286,1,0.064
CNN2,0.003515214,-0.349348653,0.447,0.55,1,0.103
SRSF1,0.067918025,-0.349093722,0.159,0.209,1,0.05
KMT2B,0.520238928,-0.348894062,0.109,0.12,1,0.011
CCDC92,0.128604384,-0.348590156,0.103,0.137,1,0.034
C12orf10,0.169446423,-0.347528716,0.081,0.109,1,0.028
PDE4B,0.206188727,-0.347369904,0.078,0.102,1,0.024
PRPSAP1,0.257755416,-0.346650795,0.088,0.11,1,0.022
ARID5B,0.052146126,-0.346394136,0.175,0.23,1,0.055
TSPAN32,0.113993764,-0.346136162,0.225,0.272,1,0.047
BAZ1A,0.057030275,-0.34570071,0.181,0.234,1,0.053
FOXO1,0.173111684,-0.344845886,0.081,0.109,1,0.028
ECHS1,0.156492704,-0.344843586,0.1,0.131,1,0.031
SUPT3H,0.219416172,-0.343820622,0.078,0.102,1,0.024
HEXD,0.490577827,-0.343573844,0.1,0.113,1,0.013
OGDH,0.038403154,-0.343439652,0.069,0.112,1,0.043
RSBN1L,0.052634104,-0.342318397,0.194,0.253,1,0.059
RANBP9,0.209308639,-0.34169892,0.097,0.124,1,0.027
SNRNP40,0.235846633,-0.341402499,0.097,0.122,1,0.025
SCAMP3,0.119283774,-0.341003684,0.128,0.168,1,0.04
MLLT10,0.113796544,-0.340603988,0.097,0.132,1,0.035
ITPA,0.176581406,-0.339916863,0.088,0.114,1,0.026
GPR65,0.011729176,-0.339569058,0.181,0.253,1,0.072
PNISR,0.008853251,-0.339484213,0.394,0.478,1,0.084
GAK,0.275580491,-0.338031171,0.112,0.135,1,0.023
CHMP1B,0.223776212,-0.337806864,0.103,0.13,1,0.027
NDUFAF3,0.088211701,-0.336918703,0.103,0.142,1,0.039
ATP6AP2,0.028372426,-0.336234776,0.206,0.276,1,0.07
CHTOP,0.395033515,-0.335697108,0.088,0.103,1,0.015
MAP7D1,0.070276249,-0.335277101,0.181,0.234,1,0.053
YWHAQ,0.005259184,-0.33476903,0.506,0.587,1,0.081
PHAX,0.19994631,-0.334598048,0.106,0.134,1,0.028
ATG4D,0.281684346,-0.333871052,0.091,0.113,1,0.022
RFXANK,0.222099904,-0.333350577,0.088,0.113,1,0.025
IAH1,0.268380076,-0.332666989,0.109,0.133,1,0.024
TRA2A,0.111147615,-0.332146702,0.131,0.169,1,0.038
RASGRP1,0.076618683,-0.332013007,0.222,0.272,1,0.05
TRPV2,0.158532697,-0.331531478,0.125,0.159,1,0.034
FKBP11,0.009841518,-0.331231055,0.281,0.363,1,0.082
DYRK1A,0.193856156,-0.330749629,0.075,0.101,1,0.026
NUDCD2,0.187369785,-0.330549464,0.084,0.112,1,0.028
NSD1,0.028987319,-0.330039928,0.144,0.206,1,0.062
CCNB1IP1,0.184113892,-0.329467395,0.075,0.101,1,0.026
EDRF1,0.274749227,-0.328832155,0.094,0.115,1,0.021
PPIG,0.0621865,-0.328700621,0.2,0.258,1,0.058
ACAP1,0.00627894,-0.327516282,0.338,0.438,1,0.1
CCSER2,0.103685874,-0.326090296,0.147,0.185,1,0.038
SIAH2,0.071481327,-0.326017451,0.1,0.142,1,0.042
CD6,0.001163217,-0.325510786,0.528,0.633,1,0.105
SEC61A1,0.235637513,-0.325477183,0.181,0.212,1,0.031
AOAH,0.058309538,-0.325062341,0.347,0.412,1,0.065
MT-ND3,3.19E-06,-0.324964556,0.931,0.971,0.053579768,0.04
PARP8,0.01350221,-0.324404467,0.306,0.38,1,0.074
ARHGEF6,0.135801604,-0.324203683,0.112,0.148,1,0.036
NFE2L2,0.235212741,-0.32373297,0.094,0.118,1,0.024
HNRNPUL2,0.07497122,-0.32354607,0.197,0.246,1,0.049
P2RY8,0.082083295,-0.323514211,0.338,0.378,1,0.04
RPS19BP1,0.100831983,-0.323513153,0.225,0.277,1,0.052
RNF113A,0.071500395,-0.322702241,0.109,0.153,1,0.044
KLF10,0.171075481,-0.321935267,0.091,0.12,1,0.029
STAG1,0.160623567,-0.321849498,0.078,0.105,1,0.027
ACTR1B,0.349758227,-0.321226592,0.128,0.148,1,0.02
NMRK1,0.329363946,-0.320754376,0.112,0.134,1,0.022
GNL1,0.098008311,-0.320568945,0.078,0.112,1,0.034
UBAP1,0.227103174,-0.320001308,0.081,0.105,1,0.024
GSPT1,0.024470748,-0.319642312,0.194,0.261,1,0.067
SNAP29,0.179251328,-0.319017193,0.078,0.105,1,0.027
MYLIP,0.029574896,-0.317338072,0.159,0.219,1,0.06
CAMTA1,0.264703666,-0.317151624,0.1,0.124,1,0.024
WDR74,0.303895301,-0.317052339,0.103,0.126,1,0.023
PRKY,0.180699726,-0.316991422,0.144,0.177,1,0.033
FXR1,0.029716728,-0.31692815,0.141,0.198,1,0.057
MT-CYB,1.92E-08,-0.316479054,0.978,0.994,0.00032178,0.016
SQOR,0.695992465,-0.315131281,0.097,0.102,1,0.005
KLHL28,0.27997398,-0.31492005,0.097,0.12,1,0.023
TPD52L2,0.210694997,-0.314566095,0.084,0.109,1,0.025
PMPCB,0.065282092,-0.314528011,0.147,0.197,1,0.05
NAA20,0.097165428,-0.314274896,0.088,0.125,1,0.037
NSMCE3,0.232712057,-0.314273902,0.197,0.227,1,0.03
TUBGCP2,0.178943663,-0.313361298,0.084,0.112,1,0.028
TMED10,0.005562213,-0.312359382,0.291,0.387,1,0.096
DTX3L,0.493199637,-0.311880213,0.116,0.128,1,0.012
MBNL1,0.000719157,-0.31159214,0.559,0.679,1,0.12
ANKLE2,0.262994207,-0.310835827,0.094,0.117,1,0.023
PI4KA,0.226010296,-0.310737706,0.091,0.116,1,0.025
HIST1H3D,0.612798575,-0.310470998,0.125,0.133,1,0.008
DDA1,0.422638597,-0.310445064,0.122,0.136,1,0.014
PCM1,0.016709512,-0.310325478,0.247,0.327,1,0.08
PCMTD1,0.168336963,-0.310190828,0.134,0.167,1,0.033
